tick, CC, CD, DC, DD
1, 0, 0, 0, 1
2, 0, 1, 0, 1
3, 0, 2, 0, 1
4, 0, 2, 2, 1
5, 0, 2, 4, 1
6, 0, 2, 4, 2
7, 1, 1, 4, 2
8, 2, 0, 4, 3
9, 2, 0, 3, 2
10, 3, 0, 2, 2
11, 1, 0, 3, 3
12, 1, 1, 5, 3
13, 1, 1, 5, 4
14, 2, 1, 5, 4
15, 3, 2, 5, 4
16, 2, 2, 5, 5
17, 3, 2, 5, 4
18, 2, 2, 5, 5
19, 2, 2, 4, 4
20, 3, 2, 4, 6
21, 4, 3, 5, 5
22, 6, 3, 4, 4
23, 7, 2, 5, 4
24, 5, 3, 5, 3
25, 7, 2, 4, 3
26, 7, 4, 3, 3
27, 9, 5, 4, 3
28, 11, 4, 5, 3
29, 10, 6, 5, 4
30, 10, 6, 6, 5
31, 12, 6, 6, 7
32, 10, 7, 4, 6
33, 10, 6, 5, 6
34, 11, 6, 5, 6
35, 9, 6, 6, 6
36, 9, 7, 6, 6
37, 9, 10, 5, 8
38, 11, 11, 5, 8
39, 12, 12, 5, 8
40, 11, 11, 7, 8
41, 10, 12, 8, 8
42, 11, 13, 9, 7
43, 13, 15, 10, 8
44, 13, 19, 10, 8
45, 14, 21, 9, 7
46, 17, 24, 12, 4
47, 17, 24, 11, 2
48, 18, 29, 11, 3
49, 24, 28, 11, 4
50, 30, 37, 13, 4
51, 30, 34, 14, 3
52, 32, 35, 11, 4
53, 35, 39, 12, 3
54, 37, 35, 10, 3
55, 39, 39, 10, 4
56, 40, 42, 11, 3
57, 45, 46, 11, 1
58, 48, 46, 10, 2
59, 50, 50, 12, 4
60, 54, 48, 13, 5
61, 64, 49, 17, 6
62, 65, 52, 17, 7
63, 67, 54, 19, 6
64, 63, 54, 17, 8
65, 64, 53, 16, 8
66, 61, 62, 16, 11
67, 73, 74, 13, 10
68, 73, 72, 14, 12
69, 76, 76, 15, 15
70, 78, 86, 17, 16
71, 76, 92, 16, 16
72, 77, 101, 14, 17
73, 70, 97, 11, 19
74, 71, 99, 14, 25
75, 70, 99, 13, 27
76, 75, 101, 19, 26
77, 78, 104, 18, 24
78, 81, 105, 18, 22
79, 80, 104, 19, 20
80, 77, 108, 18, 19
81, 75, 113, 18, 19
82, 74, 118, 17, 21
83, 75, 115, 17, 19
84, 81, 125, 16, 19
85, 87, 119, 16, 21
86, 91, 120, 16, 19
87, 93, 130, 17, 18
88, 93, 131, 17, 18
89, 90, 140, 21, 17
90, 92, 143, 24, 17
91, 94, 145, 26, 18
92, 98, 152, 26, 19
93, 95, 160, 26, 20
94, 105, 162, 25, 25
95, 114, 158, 29, 25
96, 117, 160, 26, 24
97, 117, 171, 27, 24
98, 121, 173, 28, 24
99, 126, 168, 23, 22
100, 135, 174, 25, 19
101, 133, 179, 28, 17
102, 131, 186, 28, 21
103, 131, 184, 25, 19
104, 130, 197, 27, 15
105, 138, 197, 28, 17
106, 142, 209, 30, 17
107, 138, 211, 29, 20
108, 149, 211, 25, 19
109, 147, 217, 24, 18
110, 145, 237, 27, 15
111, 150, 250, 31, 16
112, 150, 270, 33, 18
113, 152, 263, 32, 20
114, 159, 265, 36, 18
115, 163, 268, 37, 21
116, 171, 285, 44, 21
117, 165, 285, 43, 26
118, 168, 283, 41, 28
119, 174, 291, 39, 30
120, 179, 296, 39, 32
121, 178, 303, 36, 32
122, 176, 300, 35, 34
123, 180, 287, 36, 39
124, 198, 291, 38, 41
125, 203, 300, 33, 42
126, 210, 308, 30, 42
127, 218, 325, 32, 44
128, 236, 332, 28, 43
129, 234, 336, 27, 43
130, 236, 331, 32, 42
131, 228, 357, 28, 44
132, 238, 359, 26, 44
133, 250, 383, 25, 44
134, 248, 370, 23, 43
135, 258, 383, 22, 45
136, 261, 382, 22, 48
137, 260, 395, 24, 54
138, 262, 399, 29, 55
139, 265, 414, 27, 58
140, 267, 442, 28, 57
